9402,640.5,208.5,127,159,1.175231
9402,208.5,92.5,63,71,1.094024
9402,216.5,158.0,157,196,1.05284
9402,698.5,308.0,73,82,1.043801
9402,240.0,377.0,274,342,1.042918
9402,657.0,326.0,64,100,1.024757
9402,368.5,35.0,67,84,1.018178
9403,518.5,167.5,59,93,1.071978
9403,522.5,216.5,119,133,1.071702
9403,660.0,124.0,68,76,1.051434
9403,186.5,141.5,103,163,1.012895
9403,699.0,290.5,78,87,1.007188
9403,446.0,103.0,136,170,1.00609
9403,647.5,347.5,59,93,1.003396
9403,657.0,127.0,118,134,1.002122
9404,443.0,430.5,84,133,1.073002
9404,694.0,103.5,68,107,1.050892
9404,224.5,352.5,255,319,1.047386
9404,508.5,332.5,55,87,1.047349
9404,479.0,479.0,84,132,1.041941
9404,517.5,290.0,83,94,1.01901
9404,627.0,127.0,118,134,1.018461
9404,492.5,207.0,157,176,1.001599
9405,551.5,246.0,157,176,1.066306
9405,459.5,216.0,111,124,1.031944
9406,154.0,137.0,136,170,1.056298
9406,446.0,265.0,222,250,1.042417
9406,718.0,301.0,84,94,1.034567
9406,581.0,241.0,78,88,1.017299
9406,581.0,128.0,78,98,1.010849
9406,620.5,300.5,55,87,1.010556
9406,647.5,373.0,59,94,1.005148
9407,149.0,127.0,118,134,1.07541
9407,92.0,501.0,72,82,1.069502
9407,629.5,381.0,63,100,1.022429
9407,591.0,143.0,84,94,1.002118
9408,158.0,354.5,314,393,1.061371
9408,389.5,233.5,103,129,1.059333
9408,542.0,133.0,72,82,1.032838
9408,553.5,484.5,59,93,1.0326
9408,139.5,118.5,111,125,1.019933
9408,613.5,381.5,59,93,1.018705
9408,492.5,221.5,77,87,1.018309
9408,331.0,101.0,146,164,1.00926
9409,136.0,113.0,90,112,1.125323
9409,490.5,205.5,73,115,1.070738
9409,416.5,132.5,63,71,1.038953
9409,532.0,133.0,78,88,1.008319
9410,142.5,132.0,73,116,1.137134
9410,696.5,76.5,111,125,1.023426
9410,138.0,167.5,156,177,1.014197
9410,416.5,140.5,63,71,1.006671
9411,478.0,221.5,68,107,1.096289
9411,403.0,141.5,68,77,1.076525
9411,362.0,251.0,110,138,1.025599
9412,400.5,148.5,63,71,1.096719
9412,384.5,152.5,89,101,1.085974
9412,350.5,246.5,103,129,1.085279
9412,373.5,345.0,89,100,1.056074
9412,288.5,360.5,127,143,1.043501
9412,468.5,212.5,55,87,1.041073
9412,398.5,467.5,59,93,1.02012
9412,158.5,141.5,89,101,1.012343
9413,348.0,251.0,110,138,1.163083
9413,447.0,220.5,78,123,1.09794
9413,376.0,341.0,110,124,1.073138
9413,165.0,193.0,146,164,1.023056
9413,288.5,360.5,127,143,1.021356
9413,485.0,321.0,96,108,1.018048
9413,634.5,77.5,137,153,1.017239
9413,639.0,186.5,78,123,1.014433
