9404,205.0,550.0,32.0,32.0
9405,309.0,193.0,28.0,28.0
9405,78.5,465.5,49.0,49.0
9406,539.0,319.0,34.0,34.0
9407,707.5,311.5,93.0,93.0
9407,59.0,125.0,98.0,98.0
9408,264.5,199.5,25.0,25.0
9408,97.5,153.5,43.0,43.0
9409,86.5,154.5,41.0,41.0
9410,77.5,155.5,41.0,41.0
9411,67.5,158.5,41.0,41.0
9412,60.0,161.0,42.0,42.0
9413,51.5,162.5,41.0,41.0
9413,411.0,385.0,44.0,44.0
9414,43.5,166.5,41.0,41.0
9414,438.0,163.0,46.0,46.0
9415,37.0,169.0,42.0,42.0
9416,261.0,167.0,30.0,30.0
9416,30.5,170.5,41.0,41.0
9417,23.5,173.5,39.0,39.0
9417,469.5,150.5,35.0,35.0
9418,464.0,154.0,34.0,34.0
9418,18.5,174.5,35.0,35.0
9419,456.5,155.5,35.0,35.0
9420,450.5,155.5,37.0,37.0
9420,615.0,213.0,246.0,246.0
9421,444.0,155.0,36.0,36.0
9422,437.5,153.5,37.0,37.0
9422,368.0,439.0,32.0,32.0
9422,589.5,209.5,255.0,255.0
9423,432.0,153.0,36.0,36.0
9423,354.0,170.0,36.0,36.0
9424,426.0,151.0,38.0,38.0
9424,572.0,209.0,258.0,258.0
9425,422.0,152.0,40.0,40.0
9425,19.5,262.5,35.0,35.0
9425,347.0,171.0,38.0,38.0
9425,24.5,307.5,47.0,47.0
9425,571.0,214.0,278.0,278.0
9426,418.0,152.0,38.0,38.0
9426,562.0,216.0,228.0,228.0
9427,343.5,166.5,31.0,31.0
9427,414.0,152.0,36.0,36.0
9427,565.5,214.5,231.0,231.0
9428,410.5,153.5,37.0,37.0
9428,542.0,256.0,104.0,104.0
9428,551.0,216.0,224.0,224.0
9429,406.0,155.0,38.0,38.0
9429,551.0,216.0,224.0,224.0
9430,404.0,156.0,38.0,38.0
9430,549.5,214.5,231.0,231.0
9431,402.0,156.0,38.0,38.0
9431,549.5,214.5,231.0,231.0
9432,400.5,154.5,39.0,39.0
9432,483.5,223.5,329.0,329.0
9433,399.0,153.0,38.0,38.0
9434,398.0,151.0,40.0,40.0
9434,316.0,159.0,38.0,38.0
9435,396.0,148.0,40.0,40.0
9435,312.0,161.0,40.0,40.0
9436,393.5,145.5,39.0,39.0
9436,307.5,162.5,41.0,41.0
9436,293.0,338.0,38.0,38.0
9437,304.0,162.0,42.0,42.0
9437,391.0,143.0,40.0,40.0
9437,172.0,122.0,110.0,110.0
9438,299.5,159.5,43.0,43.0
9438,389.5,140.5,41.0,41.0
9438,170.0,124.0,132.0,132.0
9438,529.0,205.0,224.0,224.0
9439,388.0,140.0,40.0,40.0
9439,297.5,156.5,45.0,45.0
9439,302.0,401.0,56.0,56.0
9439,168.5,125.5,139.0,139.0
9439,534.5,206.5,239.0,239.0
9440,294.5,152.5,43.0,43.0
9440,283.0,339.0,42.0,42.0
9440,387.5,141.5,43.0,43.0
9440,172.0,122.0,128.0,128.0
9440,518.0,206.0,212.0,212.0
9441,388.0,379.0,24.0,24.0
9441,287.5,401.5,35.0,35.0
9441,386.0,143.0,40.0,40.0
9441,292.0,148.0,46.0,46.0
9441,169.5,120.5,121.0,121.0
9441,518.0,205.0,222.0,222.0
9442,290.5,143.5,45.0,45.0
9442,383.0,143.0,44.0,44.0
9442,216.0,246.0,72.0,72.0
9442,167.0,119.0,118.0,118.0
9442,518.0,205.0,222.0,222.0
9443,394.5,453.5,43.0,43.0
9443,381.5,143.5,43.0,43.0
9443,290.0,142.0,46.0,46.0
9443,167.5,115.5,97.0,97.0
9443,514.5,201.5,217.0,217.0
9444,379.0,141.0,44.0,44.0
9444,289.0,141.0,46.0,46.0
9445,378.0,139.0,46.0,46.0
9445,289.0,141.0,46.0,46.0
9445,206.0,330.0,74.0,74.0
9446,378.0,135.0,44.0,44.0
9446,290.0,143.0,48.0,48.0
9446,205.0,325.0,74.0,74.0
9446,167.0,118.0,136.0,136.0
9447,377.5,131.5,43.0,43.0
9447,291.0,145.0,48.0,48.0
9447,170.0,119.0,144.0,144.0
9448,377.5,128.5,45.0,45.0
9448,292.0,148.0,48.0,48.0
9448,171.0,115.0,126.0,126.0
9449,377.5,127.5,47.0,47.0
9449,294.5,150.5,51.0,51.0
9449,170.0,117.0,136.0,136.0
9450,196.0,427.0,42.0,42.0
9450,378.5,127.5,47.0,47.0
9450,296.5,149.5,49.0,49.0
9450,214.0,207.0,48.0,48.0
9450,172.0,116.0,136.0,136.0
9451,218.5,262.5,23.0,23.0
9451,379.0,128.0,46.0,46.0
9451,298.0,149.0,50.0,50.0
9451,173.0,119.0,142.0,142.0
9452,381.0,130.0,46.0,46.0
9452,299.5,144.5,51.0,51.0
9452,173.5,120.5,139.0,139.0
9453,381.5,131.5,49.0,49.0
9453,299.5,139.5,51.0,51.0
9453,175.5,120.5,139.0,139.0
9454,384.5,131.5,45.0,45.0
9454,299.0,136.0,52.0,52.0
9454,217.0,173.0,204.0,204.0
9455,384.0,131.0,48.0,48.0
9455,298.5,130.5,53.0,53.0
9456,298.0,129.0,56.0,56.0
9456,387.5,131.5,51.0,51.0
9456,495.5,231.5,63.0,63.0
9457,386.5,128.5,49.0,49.0
9457,297.5,128.5,53.0,53.0
9457,44.0,170.0,64.0,64.0
9458,298.5,131.5,53.0,53.0
9459,298.5,135.5,51.0,51.0
9459,387.5,121.5,51.0,51.0
9460,299.5,138.5,55.0,55.0
9460,52.0,177.0,72.0,72.0
9460,209.5,348.5,99.0,99.0
9461,300.0,141.0,52.0,52.0
9462,300.0,141.0,54.0,54.0
9463,300.0,138.0,54.0,54.0
9464,395.0,412.0,40.0,40.0
9464,383.5,124.5,51.0,51.0
9464,603.5,517.5,61.0,61.0
9464,403.5,526.5,79.0,79.0
9465,185.5,114.5,131.0,131.0
9468,518.5,342.5,71.0,71.0
9469,25.0,116.0,38.0,38.0
9469,521.5,347.5,131.0,131.0
9470,24.0,116.0,42.0,42.0
9470,192.0,112.0,116.0,116.0
9471,74.0,165.0,52.0,52.0
9472,28.5,114.5,37.0,37.0
9474,250.5,474.5,35.0,35.0
9479,204.5,114.5,101.0,101.0
9482,257.5,459.5,59.0,59.0
9482,146.0,286.0,84.0,84.0
9483,150.5,288.5,63.0,63.0
9487,115.5,182.5,65.0,65.0
9488,244.0,435.0,52.0,52.0
9490,239.5,437.5,53.0,53.0
9490,464.0,292.0,84.0,84.0
9491,237.0,442.0,58.0,58.0
9492,312.5,168.5,39.0,39.0
9493,320.5,168.5,37.0,37.0
9494,329.0,172.0,40.0,40.0
9494,251.0,502.0,90.0,90.0
9495,335.0,174.0,42.0,42.0
9496,343.0,177.0,40.0,40.0
9498,357.0,184.0,44.0,44.0
9499,615.0,537.0,34.0,34.0
9499,288.5,511.5,63.0,63.0
9501,461.5,377.5,35.0,35.0
9501,282.5,543.5,37.0,37.0
9501,463.5,282.5,101.0,101.0
9502,277.5,546.5,37.0,37.0
9502,273.5,527.5,55.0,55.0
9503,674.5,173.5,149.0,149.0
